2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
49619179.0,52887521.0,57951342.0,60694959.0,67019707.0,71669217.0,98454741.0,80923133.0,82939471.0,83395812.0,87248296.0,90046458.0,92761909.0,94568454.0
20164930.0,21102290.0,21683854.0,22615897.0,24761249.0,26080002.0,36640268.0,29424694.0,30266724.0,30865280.0,32952537.0,33885126.0,35566626.0,38973084.0
4183050.0,4547244.0,4927367.0,5277961.0,5437401.0,5624865.0,5647247.0,6068964.0,6082441.0,6219646.0,6557435.0,6658466.0,6790721.0,6978595.0
7165862.0,7532789.0,7986423.0,8151085.0,9164711.0,9725709.0,11578692.0,10628419.0,9988643.0,10454834.0,10625583.0,11116008.0,11258315.0,11559640.0
5994414.0,6233176.0,6396033.0,6699279.0,6771173.0,7295626.0,8631213.0,7663926.0,7823633.0,7917159.0,7959258.0,8054951.0,8414292.0,8230306.0
3225280.0,3194082.0,3365828.0,3685772.0,3894556.0,4178934.0,3973587.0,4237439.0,3850301.0,4106792.0,4545284.0,4513899.0,4498536.0,4691725.0
21480750.0,23184875.0,24788370.0,26192997.0,28385044.0,29210085.0,38297938.0,30293597.0,28397600.0,30179163.0,32887244.0,33091150.0,35087291.0,36132376.0
4255864.0,4534259.0,4962884.0,5185644.0,5517068.0,5398079.0,6858345.0,6391573.0,6469252.0,6438520.0,6656208.0,6450506.0,6377957.0,6819517.0
49152572.0,51931576.0,53529419.0,55744231.0,59144590.0,63138300.0,85504187.0,69732133.0,68185134.0,67380683.0,71812630.0,70066838.0,74300492.0,75053250.0
5339440.0,5790457.0,6371384.0,6974510.0,7606951.0,8034774.0,10040900.0,8775336.0,8649866.0,8774192.0,8941173.0,9169574.0,9540965.0,9615620.0
44471413.0,47804212.0,49838946.0,51756275.0,55983288.0,59059976.0,80434620.0,64620969.0,65728909.0,66795182.0,68933265.0,70434246.0,73703266.0,71510265.0
14550114.0,14955470.0,15582337.0,16329717.0,17558919.0,18362447.0,25585754.0,20850296.0,19932606.0,20829709.0,21936853.0,22526248.0,23416325.0,24073247.0
