Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NEW HARTFORD,15318698.0,16418998.0,17141404.0,17900059.0,22539477.0,19162250.0,23410864.0,21935713.0,21313898.0,21983802.0,21834518.0,22713564.0,23191070.0,23739666.0
NEW HAVEN,352124776.0,361934516.0,367687157.0,383848540.0,411683158.0,434342544.0,522068999.0,473037191.0,479433769.0,490946113.0,512434181.0,523999580.0,524264354.0,548208785.0
NEW LONDON,69589525.0,69833464.0,70422249.0,74132979.0,73812814.0,75873391.0,92100343.0,82666423.0,79132258.0,81326794.0,87324773.0,79010494.0,80594946.0,82547534.0
NEW MILFORD,72485187.0,72118088.0,76169440.0,77781406.0,82906975.0,87640322.0,106481971.0,92175246.0,91382527.0,94352765.0,98840403.0,96339337.0,101009990.0,103381849.0
NEWINGTON,62982824.0,66951000.0,71254000.0,74767000.0,80046000.0,84109000.0,104668000.0,91893000.0,94743000.0,96940000.0,103536000.0,104586000.0,108305000.0,110250000.0
NEWTOWN,71213489.0,75553671.0,80044499.0,85342017.0,91146093.0,96257409.0,113912602.0,107654257.0,106501309.0,108189425.0,110779170.0,111568800.0,118493278.0,118441432.0
NORFOLK,5351851.0,5488979.0,5486877.0,5741845.0,6206979.0,6758455.0,7362981.0,7583193.0,6897848.0,7240502.0,7494291.0,7670127.0,7726580.0,7913580.0
NORTH BRANFORD,32375512.0,34404166.0,34725356.0,35668067.0,38424722.0,40327046.0,49911141.0,45005307.0,46830180.0,47833961.0,50011604.0,49790265.0,51408323.0,51544051.0
NORTH CANAAN,7927470.0,7980645.0,8225040.0,8702685.0,8752643.0,9265032.0,11035855.0,10502450.0,10228825.0,10724185.0,10491014.0,10795071.0,11241840.0,11968568.0
NORTH HAVEN,62161677.0,65474891.0,67927155.0,69627962.0,72925487.0,74416364.0,80742492.0,83535922.0,82807862.0,86787354.0,89172255.0,90008560.0,94428364.0,95753027.0
NORTH STONINGTON,14201588.0,14449639.0,14845046.0,15673422.0,16853403.0,17483787.0,17127392.0,18133071.0,17679149.0,18714859.0,18999983.0,19440204.0,19006589.0,18753263.0
NORWALK,208053161.0,213611604.0,214869382.0,227594856.0,250411344.0,259410031.0,274180539.0,286727133.0,287177972.0,293972793.0,306355382.0,316805003.0,331825440.0,342818203.0
NORWICH,84345437.0,85333132.0,86024400.0,89766000.0,93867000.0,98887000.0,115567000.0,106736000.0,101953000.0,104971000.0,110308000.0,116624000.0,121158000.0,121420000.0
OLD LYME,20169325.0,22036505.0,23472514.0,24875045.0,26127584.0,27682582.0,28218143.0,30022793.0,30064577.0,30551341.0,31229689.0,32446939.0,32434342.0,32856320.0
OLD SAYBROOK,24611168.0,26271977.0,27339858.0,28987620.0,31046894.0,31959985.0,38466261.0,35751084.0,37216568.0,37982697.0,39309348.0,39840561.0,42349432.0,45473658.0
ORANGE,39482377.0,40540609.0,43720807.0,45201051.0,48846692.0,51279783.0,57784327.0,56044564.0,55753354.0,56938073.0,58478795.0,60756347.0,63084095.0,63611467.0
OXFORD,23191370.0,24089231.0,26217788.0,27217986.0,31332839.0,32469067.0,43884149.0,38788486.0,39275768.0,40704206.0,41125061.0,41671347.0,44767445.0,45592608.0
PLAINFIELD,34346377.0,34489133.0,34191769.0,36116864.0,39869759.0,40729764.0,43847150.0,44480357.0,45722913.0,44908304.0,46512915.0,46602904.0,48488109.0,50158986.0
PLAINVILLE,38949850.0,42547135.0,43074014.0,44630571.0,47330344.0,49049799.0,60954478.0,53388947.0,53489265.0,54073431.0,56024576.0,55833221.0,57488462.0,58041116.0
