Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010
THOMASTON,1223128.0,1778639.0,1460002.0,1741694.0,2384337.0,1553554.0,1743007.0,1554869.0,1626920.0
THOMPSON,2443007.0,2555875.0,2463438.0,2434715.0,2612589.0,2665841.0,2371764.0,2151883.0,1728311.0
TOLLAND,2521653.0,3082745.0,3516564.0,3906752.0,4336381.0,4647758.0,5175165.0,5755314.0,6119876.0
TORRINGTON,4589106.0,3083768.0,3042032.0,4710753.0,6246349.0,9286504.0,7619990.0,5843113.0,2661822.0
TRUMBULL,4503211.0,5104717.0,6053429.0,7135546.0,7669978.0,13862561.0,13806789.0,13081043.0,14673053.0
UNION,301781.0,180828.0,279789.0,297595.0,345439.0,234297.0,334543.0,407731.0,346174.0
VERNON,5348519.0,5027713.0,5993957.0,6641701.0,7663020.0,7902232.0,7608610.0,8045020.0,8270950.0
VOLUNTOWN,672172.0,866436.0,1246964.0,743174.0,717186.0,1004412.0,840808.0,940791.0,1136565.0
WALLINGFORD,11954662.0,12965000.0,12221000.0,12616000.0,12251000.0,12838000.0,11833000.0,11754000.0,13371000.0
WARREN,766799.0,985376.0,1220515.0,1127208.0,1244214.0,1433631.0,1690973.0,1923356.0,2363236.0
WASHINGTON,1904738.0,1815058.0,2622779.0,1493657.0,1628548.0,1613197.0,1654952.0,1623576.0,2043590.0
WATERBURY,5800000.0,10000000.0,11000000.0,12000000.0,17494000.0,16918000.0,18016000.0,18082000.0,18180000.0
WATERFORD,17576740.0,19086556.0,17020229.0,14629280.0,12231369.0,10865102.0,19368174.0,10254328.0,10465852.0
WATERTOWN,3083424.0,2994805.0,2748377.0,2920507.0,4185380.0,4417367.0,4925000.0,5400261.0,5389217.0
WEST HARTFORD,11152000.0,11089000.0,11228000.0,13094000.0,14433000.0,15412000.0,16053000.0,16378000.0,17193000.0
WEST HAVEN,7479000.0,7687218.0,7659424.0,-4789424.0,-14386491.0,-10586441.0,-4864673.0,-6181689.0,-14309077.0
WESTBROOK,1880441.0,1530348.0,1134476.0,1182060.0,1530339.0,2121759.0,2594930.0,2852949.0,2426297.0
WESTON,3935069.0,3841530.0,5034420.0,7180749.0,8146535.0,9277010.0,8740229.0,7758413.0,7579528.0
WESTPORT,12397130.0,10259259.0,11225239.0,12869982.0,11889515.0,14024019.0,15914778.0,15789521.0,19152651.0
WETHERSFIELD,3556257.0,3635146.0,4314340.0,5110201.0,6198071.0,7275338.0,7260104.0,7211432.0,7346059.0
WILLINGTON,936728.0,769980.0,1318248.0,1015114.0,1290220.0,1187232.0,1240115.0,1399726.0,1579101.0
WILTON,1453426.0,2506731.0,4465340.0,8197356.0,12891394.0,13867969.0,13632008.0,12833146.0,12222624.0
WINCHESTER,1760016.0,506795.0,54089.0,544693.0,1047155.0,1121832.0,800076.0,865410.0,711143.0
WINDHAM,7805471.0,5216196.0,6798958.0,5495208.0,6147668.0,6147948.0,5408945.0,5945857.0,7278911.0
WINDSOR,6495964.0,6492477.0,7226301.0,8852536.0,10116866.0,12268996.0,13169515.0,13540188.0,14279843.0
WINDSOR LOCKS,4994107.0,5077354.0,4124254.0,6007146.0,7530590.0,7601860.0,8302605.0,7665480.0,8194471.0
WOLCOTT,819612.0,1514136.0,1665133.0,1599009.0,1674492.0,1741041.0,1453252.0,1526551.0,1903876.0
WOODBRIDGE,2721918.0,3485256.0,4116144.0,4190695.0,4669310.0,4553568.0,4582959.0,4608707.0,4149638.0
WOODBURY,1657681.0,1764231.0,1935462.0,2209940.0,2473542.0,2203651.0,2378474.0,2187243.0,1903827.0
WOODSTOCK,2146491.0,2153993.0,1598457.0,1460502.0,1719396.0,1707581.0,1593760.0,1743196.0,1641515.0
