Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
THOMASTON,19114318.0,19685745.0,20037305.0,20826395.0,22938094.0,23325152.0,26327234.0,24171550.0,23712700.0,23933076.0,25226210.0,26319519.0,26737178.0,26761277.0
THOMPSON,17792329.0,17392435.0,17696817.0,18362238.0,19699274.0,21157436.0,26062427.0,22828536.0,22336234.0,23034846.0,23531413.0,24481842.0,24781208.0,24700624.0
TOLLAND,34360543.0,37476076.0,40060494.0,42055750.0,44637195.0,47593388.0,60019233.0,53030755.0,50950725.0,51852277.0,55823239.0,56290219.0,57368477.0,57670027.0
TORRINGTON,84190323.0,87052715.0,89834717.0,94939795.0,98552611.0,106071225.0,123329465.0,110585183.0,109102192.0,116198409.0,117492864.0,120661061.0,125384894.0,128056737.0
TRUMBULL,92165890.0,97146188.0,106035029.0,110199933.0,119523299.0,127554338.0,130178838.0,137418443.0,141109729.0,144728553.0,152597114.0,159869929.0,163930660.0,170470944.0
UNION,1688632.0,1670687.0,1835358.0,2278796.0,2133859.0,2306220.0,2480498.0,2785772.0,2659480.0,2763280.0,2835799.0,2882477.0,3052984.0,3295667.0
VERNON,61959487.0,63165933.0,65833848.0,68167756.0,72633965.0,75343697.0,91053585.0,79325174.0,80615389.0,84618454.0,87500671.0,86474509.0,90829489.0,92741578.0
VOLUNTOWN,6164509.0,6672950.0,6670092.0,6738365.0,7178088.0,7565853.0,8934841.0,8144734.0,7759323.0,7544774.0,8305595.0,8536148.0,8507079.0,8656046.0
WALLINGFORD,105190292.0,103919000.0,110501000.0,113186000.0,123084000.0,127897000.0,158648000.0,140717000.0,139344000.0,141047000.0,148180000.0,151652000.0,155748000.0,158100000.0
WARREN,3080819.0,3300886.0,3631715.0,4037304.0,4231295.0,4536195.0,4629990.0,4531239.0,4544215.0,4636299.0,4604394.0,4946692.0,5111191.0,5261825.0
